date,open,high,low,close,volume
2025-01-02,600.53,612.97,598.86,611.44,4200
2025-01-03,609.01,614.79,608.51,611.61,34431
2025-01-06,606.47,616.47,605.4,612.06,11040
2025-01-07,612.03,612.41,599.79,606.76,5867
2025-01-08,605.2,612.72,597.19,600.96,42889
2025-01-09,596.96,598.06,593.96,594.99,37334
2025-01-10,592.88,600.78,584.87,591.25,28429
2025-01-13,596.9,611.21,589.69,603.42,6657
2025-01-14,608.82,619.52,602.05,613.38,14116
2025-01-15,615.83,631.74,612.52,627.28,36214
2025-01-16,631.28,639.14,622.09,623.56,46342
2025-01-17,627.25,632.58,623.55,627.44,31692
2025-01-20,628.3,632.79,616.16,623.04,4694
2025-01-21,621.66,632.67,619.79,623.37,42748
2025-01-22,629.47,638.01,616.49,621.1,33078
2025-01-23,627.17,629.13,615.01,622.77,16375
2025-01-24,628.88,637.03,617.58,620.22,37596
2025-01-27,615.25,616.65,602.81,607.07,49032
2025-01-28,608.63,630.46,608.47,621.32,11238
2025-01-29,621.88,639.03,613.39,635.69,41815
2025-01-30,631.8,632.96,617.09,622.97,8938
2025-01-31,619.14,635.03,617.45,630.4,40859
2025-02-03,626.83,630.44,624.96,625.74,26857
2025-02-04,628.16,644.91,619.1,641.25,24844
2025-02-05,643.65,653.22,637.65,646.01,36853
2025-02-06,642.01,652.76,636.74,652.52,15933
2025-02-07,649.93,666.73,641.92,661.19,33682
2025-02-10,666.32,672.68,661.37,662.17,49851
2025-02-11,660.21,675.82,658.62,673.79,27496
2025-02-12,679.05,682.66,660.34,668.85,9625
2025-02-13,672.58,682.42,663.27,675.95,37454
2025-02-14,681.1,699.72,674.13,693.96,48504
2025-02-17,695.63,700.1,691.85,692.12,5529
2025-02-18,689.81,694.7,675.8,681.43,14742
2025-02-19,682.84,686.82,666.35,672.84,24132
2025-02-20,667.34,671.36,653.55,663.4,44827
2025-02-21,662.55,671.61,652.95,662.71,28539
2025-02-24,667.02,669.84,665.69,667.13,25002
2025-02-25,662.62,668.95,656.51,663.54,25200
2025-02-26,657.27,663.2,653.67,662.21,40999
2025-02-27,662.66,681.51,654.94,671.5,19272
2025-02-28,675.35,683.25,666.4,669.31,38767
2025-03-03,666.57,675.39,657.44,659.2,31151
2025-03-04,653.16,670.29,650.05,664.3,12451
2025-03-05,665.73,666.08,647.97,657.51,12230
2025-03-06,657.99,663.59,648.9,654.18,27843
2025-03-07,652.17,665.9,644.02,658.36,34744
2025-03-10,663.57,685.24,653.73,675.48,4517
2025-03-11,681.91,682.61,672.47,678.95,18586
2025-03-12,673.82,686.42,672.38,683.11,12645
2025-03-13,684.98,700.33,684.15,697.84,45682
2025-03-14,699.03,711.54,693.55,703.61,41784
2025-03-17,698.8,706.87,680.6,685.94,49671
2025-03-18,684.26,689.92,683.0,687.02,35317
2025-03-19,693.01,701.72,671.7,680.69,24067
2025-03-20,681.47,693.52,681.34,692.44,4105
