date,open,high,low,close,volume
2025-01-02,340.03,344.27,330.65,333.95,6436
2025-01-03,335.48,345.89,333.14,342.63,39284
2025-01-06,341.27,341.66,335.22,338.69,17460
2025-01-07,340.21,350.01,338.11,346.57,38541
2025-01-08,345.33,350.29,342.73,343.52,31341
2025-01-09,344.13,350.94,340.75,347.59,46739
2025-01-10,348.2,348.66,343.38,345.19,28871
2025-01-13,345.31,354.2,340.21,352.83,20698
2025-01-14,354.01,358.82,344.74,348.68,12046
2025-01-15,348.52,354.53,343.43,353.89,18087
2025-01-16,355.36,366.74,353.11,362.96,43933
2025-01-17,363.83,371.04,359.23,365.95,47708
2025-01-20,365.67,369.69,360.3,365.24,27005
2025-01-21,368.69,371.21,362.14,364.99,31168
2025-01-22,364.7,366.63,360.24,364.18,30590
2025-01-23,361.56,363.98,353.97,358.39,19133
2025-01-24,359.42,363.8,358.23,360.06,45178
2025-01-27,357.07,363.58,354.97,358.33,39657
2025-01-28,360.13,360.26,353.4,358.22,11731
2025-01-29,359.64,363.5,350.17,355.0,17162
2025-01-30,358.0,367.44,357.23,362.96,41167
2025-01-31,359.59,363.57,350.17,354.39,26890
2025-02-03,354.35,358.71,352.17,353.36,5254
2025-02-04,349.97,352.17,346.35,350.3,12715
2025-02-05,351.9,360.42,351.56,359.85,21893
2025-02-06,363.0,366.91,354.58,359.33,8497
2025-02-07,358.21,362.1,356.04,360.55,14888
2025-02-10,362.4,372.35,359.19,367.53,30678
2025-02-11,369.79,374.39,365.21,373.13,41040
2025-02-12,375.72,380.74,370.53,379.96,38372
2025-02-13,376.55,377.13,369.03,373.61,3816
2025-02-14,370.89,380.48,370.19,377.17,4058
2025-02-17,374.68,381.44,369.54,379.41,4144
2025-02-18,379.47,385.88,379.2,381.35,11987
2025-02-19,384.89,387.05,383.44,385.32,19464
2025-02-20,387.12,395.61,386.46,391.35,43893
2025-02-21,392.07,400.95,391.64,395.29,14746
2025-02-24,398.07,401.94,389.98,390.79,43747
2025-02-25,388.46,392.78,382.87,390.07,4333
2025-02-26,392.53,400.45,392.11,395.21,8908
2025-02-27,395.55,404.24,389.82,399.88,9428
2025-02-28,403.16,408.99,394.78,398.36,10978
2025-03-03,400.45,405.5,396.13,403.73,29744
2025-03-04,402.72,409.93,399.63,404.01,37884
2025-03-05,403.29,408.49,400.59,402.34,9200
2025-03-06,399.42,404.2,398.42,400.49,33661
2025-03-07,401.34,407.3,394.89,398.63,42861
2025-03-10,399.04,401.61,391.6,394.26,12834
2025-03-11,390.58,397.37,386.68,394.07,4254
2025-03-12,394.03,403.75,393.01,400.26,45927
2025-03-13,402.33,409.68,397.37,404.82,22856
2025-03-14,401.35,408.99,399.11,408.25,25666
2025-03-17,407.92,413.87,404.87,410.38,22471
2025-03-18,411.93,412.08,402.71,406.97,36830
2025-03-19,404.57,416.31,402.35,412.07,9499
2025-03-20,414.42,418.12,411.31,411.45,14126
2025-03-21,407.74,415.17,407.63,415.05,9598
2025-03-24,418.23,423.41,416.97,421.9,21204
2025-03-25,423.03,427.24,412.74,416.73,21210
2025-03-26,416.32,421.36,413.22,416.09,13780
2025-03-27,418.32,419.53,407.15,410.59,30770
2025-03-28,414.34,417.37,412.49,415.04,33871
2025-03-31,413.55,414.91,410.42,410.56,13316
2025-04-01,413.03,418.94,405.7,407.33,22110
2025-04-02,410.25,415.42,402.06,403.06,36357
2025-04-03,403.37,408.69,400.54,406.53,25017
2025-04-04,408.9,410.19,407.44,407.64,21636
2025-04-07,410.06,419.75,408.03,414.37,25269
2025-04-08,412.71,414.83,404.7,409.99,41721
2025-04-09,414.0,415.95,407.46,408.68,3057
2025-04-10,408.39,415.28,403.83,412.44,30756
2025-04-11,411.91,415.46,407.56,408.06,48411
2025-04-14,411.48,413.43,409.85,411.86,18513
2025-04-15,412.36,421.0,410.92,415.54,39573
2025-04-16,418.63,428.18,415.38,425.98,44485
2025-04-17,428.84,431.83,422.94,425.99,25182
2025-04-18,423.44,427.36,419.43,421.21,26519
2025-04-21,423.32,433.08,422.06,432.04,41917
2025-04-22,435.95,439.85,433.32,436.47,21481
2025-04-23,433.72,447.65,427.36,443.13,36358
2025-04-24,444.53,457.34,439.12,454.37,28110
2025-04-25,455.97,463.36,452.33,457.91,48893
2025-04-28,454.93,455.55,450.38,452.85,12255
2025-04-29,456.63,472.19,452.04,465.72,4392
2025-04-30,468.87,473.46,460.91,463.16,27648
2025-05-01,465.3,467.77,460.7,465.26,37657
2025-05-02,462.09,463.1,459.02,461.2,18394
2025-05-05,460.2,466.73,450.48,455.08,10378
2025-05-06,454.18,463.92,448.57,457.55,8688
2025-05-07,461.34,467.57,454.8,464.28,27474
2025-05-08,460.74,461.23,450.06,455.87,24392
2025-05-09,458.77,471.01,454.35,464.2,3117
2025-05-12,462.45,471.93,457.91,467.24,29576
2025-05-13,464.29,470.52,454.22,457.3,23732
2025-05-14,455.53,459.21,451.63,456.88,35317
2025-05-15,458.57,464.8,451.6,456.47,7887
2025-05-16,452.17,453.89,448.06,450.11,8213
2025-05-19,452.58,453.75,446.95,447.57,13446
2025-05-20,446.3,450.49,441.43,449.63,49839
2025-05-21,452.6,461.25,450.58,460.35,18122
2025-05-22,459.55,466.96,456.39,462.99,40211
2025-05-23,465.32,465.39,456.62,462.03,33152
