date,open,high,low,close,volume
2025-01-02,490.96,502.24,485.62,495.73,35240
2025-01-03,499.99,507.84,496.24,503.01,7464
2025-01-06,499.64,504.76,492.93,497.71,13558
2025-01-07,498.23,499.41,483.06,489.67,18959
2025-01-08,485.1,500.34,483.4,494.89,41675
2025-01-09,492.47,504.89,491.04,500.85,15738
2025-01-10,502.08,509.58,500.39,502.03,31231
2025-01-13,504.05,521.59,498.46,514.39,24932
2025-01-14,513.65,514.82,508.87,513.94,9507
2025-01-15,512.66,518.57,500.79,505.45,22098
2025-01-16,503.65,505.51,497.01,503.94,16188
2025-01-17,502.81,508.99,501.42,502.38,27187
2025-01-20,506.87,513.1,505.52,506.16,18377
2025-01-21,506.89,512.89,502.71,512.78,46476
2025-01-22,512.51,525.35,509.21,518.88,40181
2025-01-23,517.06,522.38,515.81,520.56,11623
2025-01-24,523.09,528.86,514.92,519.49,10493
2025-01-27,521.49,525.02,520.16,522.24,13343
2025-01-28,517.73,523.11,510.62,512.03,46172
2025-01-29,513.43,524.65,512.32,518.35,48335
2025-01-30,522.97,537.75,517.5,532.41,32747
2025-01-31,533.66,533.73,518.06,525.87,9024
2025-02-03,523.35,526.56,519.32,519.94,3477
2025-02-04,521.06,531.65,515.01,527.5,19861
2025-02-05,522.35,531.34,518.22,529.97,36390
2025-02-06,530.41,531.01,522.95,525.75,15881
2025-02-07,526.43,538.78,520.84,537.22,37994
2025-02-10,533.94,543.43,533.5,536.14,12504
2025-02-11,537.57,539.21,532.07,532.61,25744
2025-02-12,534.0,537.67,529.85,533.13,43239
2025-02-13,528.22,528.39,523.25,526.44,28500
2025-02-14,527.59,541.56,524.66,534.62,41849
2025-02-17,532.68,546.66,529.64,542.43,35631
2025-02-18,541.93,549.44,530.57,537.52,46223
2025-02-19,533.26,540.86,531.58,532.69,34171
2025-02-20,536.65,538.69,529.43,534.09,46931
2025-02-21,536.27,536.56,530.22,532.73,36698
2025-02-24,536.3,543.62,534.47,536.59,49729
2025-02-25,541.27,547.77,525.59,531.19,49173
2025-02-26,533.25,536.82,530.41,535.56,11498
2025-02-27,539.07,553.84,531.1,547.85,19317
2025-02-28,545.02,551.52,542.31,544.65,34786
2025-03-03,549.79,553.42,545.8,546.83,37807
2025-03-04,551.67,561.89,544.9,561.48,19967
2025-03-05,557.51,561.11,555.96,559.75,22934
2025-03-06,555.08,555.71,548.7,555.43,33883
2025-03-07,558.26,560.23,543.85,547.49,36101
2025-03-10,542.38,542.75,527.76,534.13,35521
2025-03-11,528.93,537.16,522.28,531.79,15069
2025-03-12,533.32,543.82,529.26,539.02,37817
2025-03-13,536.7,537.93,526.73,528.49,40714
2025-03-14,525.78,532.08,513.17,515.38,31847
2025-03-17,513.53,514.66,499.25,504.07,43623
2025-03-18,504.58,519.42,498.34,513.75,20410
2025-03-19,518.37,523.18,511.18,513.48,46044
2025-03-20,508.55,513.27,502.34,509.12,32855
2025-03-21,508.21,511.65,492.31,498.86,6949
2025-03-24,494.98,498.18,486.95,492.6,34612
2025-03-25,495.82,505.23,493.99,502.99,40820
2025-03-26,504.89,515.68,499.64,510.38,41170
2025-03-27,513.9,524.59,513.37,523.2,3674
2025-03-28,520.66,538.37,513.6,530.75,21751
2025-03-31,528.19,540.71,522.27,536.39,37140
