date,open,high,low,close,volume
2025-01-02,444.71,447.0,435.0,438.59,19923
2025-01-03,435.64,442.11,431.5,437.55,23977
2025-01-06,438.16,442.95,429.35,435.15,5699
2025-01-07,432.22,435.93,428.22,431.11,20123
2025-01-08,427.86,437.34,423.78,433.96,24033
2025-01-09,434.15,443.61,428.79,442.62,21767
2025-01-10,444.71,445.75,436.92,441.52,6046
2025-01-13,437.28,447.58,433.06,442.09,43897
2025-01-14,441.47,441.89,436.94,439.9,47247
2025-01-15,440.13,448.97,435.75,448.26,14898
2025-01-16,449.38,462.58,447.66,457.34,30143
2025-01-17,457.16,463.67,450.58,453.53,18616
2025-01-20,449.02,451.91,446.84,450.18,20438
2025-01-21,451.7,458.28,446.39,458.07,18989
2025-01-22,460.26,469.81,455.42,464.56,40206
2025-01-23,460.53,463.53,451.51,457.16,29068
2025-01-24,452.78,455.28,445.14,446.2,38387
2025-01-27,444.82,460.55,439.09,455.45,47775
2025-01-28,455.87,463.22,450.99,457.46,31955
2025-01-29,458.25,461.64,454.22,455.83,37711
2025-01-30,453.19,463.82,451.38,460.1,27640
2025-01-31,463.17,475.47,458.64,472.47,32175
2025-02-03,471.24,483.39,467.27,481.3,21379
2025-02-04,481.83,491.27,478.53,489.45,40636
2025-02-05,493.11,498.08,486.93,497.51,28417
2025-02-06,497.34,506.34,495.06,505.21,13347
2025-02-07,505.88,518.37,498.75,514.37,38126
2025-02-10,511.48,520.46,505.13,515.47,43939
2025-02-11,513.99,523.34,513.62,517.21,15301
2025-02-12,516.97,519.89,510.03,516.55,47761
2025-02-13,520.25,528.51,513.18,521.49,31239
2025-02-14,517.02,529.5,516.17,523.74,38676
2025-02-17,519.82,529.78,516.55,522.74,31050
2025-02-18,524.54,531.7,518.6,523.54,26961
2025-02-19,521.11,539.54,519.27,532.16,39525
2025-02-20,528.72,542.15,521.44,537.98,4669
2025-02-21,541.05,542.69,537.47,538.2,47389
2025-02-24,537.86,538.92,525.98,528.39,13683
2025-02-25,529.5,534.15,524.22,526.82,7725
2025-02-26,524.27,533.74,520.92,532.95,45570
2025-02-27,531.34,545.14,527.4,540.27,26373
2025-02-28,541.01,555.2,538.81,551.81,32413
2025-03-03,555.88,558.05,543.33,551.16,8724
2025-03-04,547.16,560.38,546.65,553.97,33076
2025-03-05,552.76,557.22,545.74,556.82,4242
2025-03-06,556.94,565.57,556.14,560.95,5864
2025-03-07,563.89,571.06,561.95,570.03,25709
2025-03-10,570.45,574.02,566.6,573.61,9521
2025-03-11,579.12,586.72,569.2,573.31,13555
2025-03-12,573.39,578.91,569.71,571.9,42945
2025-03-13,568.86,575.54,566.03,573.87,36276
2025-03-14,577.4,582.22,574.11,579.83,16100
2025-03-17,576.21,584.39,570.11,572.08,24736
2025-03-18,572.93,584.96,568.61,584.49,6682
2025-03-19,584.5,587.63,573.67,574.57,35174
2025-03-20,570.61,581.07,563.34,577.54,27269
2025-03-21,576.58,586.9,570.16,580.43,25619
2025-03-24,575.49,587.0,569.13,578.97,17882
2025-03-25,581.75,595.09,581.63,591.66,31329
2025-03-26,590.03,603.7,582.29,594.93,17521
2025-03-27,597.15,601.51,591.87,596.17,9459
2025-03-28,596.15,604.43,594.22,603.28,33808
2025-03-31,604.72,619.38,596.66,612.44,9375
2025-04-01,617.57,632.04,609.9,625.89,4735
2025-04-02,625.35,630.43,615.42,616.02,25183
2025-04-03,610.66,617.53,608.2,613.83,35206
2025-04-04,616.71,619.24,600.03,608.49,47419
2025-04-07,603.21,616.36,600.48,612.13,21574
2025-04-08,613.19,617.42,600.47,605.62,47304
2025-04-09,605.43,607.86,592.78,600.49,33702
2025-04-10,606.38,619.92,599.25,612.73,26132
2025-04-11,607.64,611.66,605.05,607.97,45487
2025-04-14,609.98,618.97,607.8,614.76,41765
2025-04-15,620.74,640.85,612.34,635.42,29178
2025-04-16,640.13,656.97,632.07,649.7,9711
2025-04-17,654.17,672.0,645.4,667.92,19052
2025-04-18,666.69,673.58,659.71,665.0,4897
2025-04-21,665.16,668.43,655.72,657.13,31386
2025-04-22,659.27,668.54,653.8,657.19,16082
2025-04-23,661.19,683.65,653.33,675.25,35607
2025-04-24,675.51,680.71,671.01,671.38,19796
2025-04-25,667.27,676.89,660.46,670.33,49813
2025-04-28,675.88,676.73,667.62,673.12,14973
2025-04-29,677.51,684.22,661.88,668.98,11583
2025-04-30,672.9,695.77,663.38,686.27,14542
2025-05-01,691.35,697.57,681.64,687.19,16326
2025-05-02,684.22,690.93,679.98,688.2,45957
2025-05-05,685.08,699.66,682.5,691.92,47674
2025-05-06,697.38,704.33,697.07,701.68,42200
