date,open,high,low,close,volume
2025-01-02,305.35,307.4,301.94,303.69,43508
2025-01-03,302.94,307.06,294.0,298.2,39671
2025-01-06,297.4,308.45,297.19,303.91,45957
2025-01-07,300.94,305.52,299.38,303.96,45822
2025-01-08,301.98,304.83,298.65,303.64,38215
2025-01-09,303.72,307.16,298.09,302.55,37311
2025-01-10,303.7,313.28,301.75,309.53,9956
2025-01-13,312.35,315.18,309.52,313.17,39222
2025-01-14,314.87,317.15,306.69,310.55,26415
2025-01-15,313.55,314.85,310.2,310.58,27019
2025-01-16,311.12,311.33,306.18,308.66,48523
2025-01-17,308.63,311.52,304.17,307.47,4732
2025-01-20,309.0,310.74,301.88,304.26,9945
2025-01-21,301.23,307.41,297.87,303.69,36918
2025-01-22,303.07,310.53,298.63,308.85,35898
2025-01-23,306.16,310.47,301.57,308.34,9643
2025-01-24,308.22,312.75,302.48,306.64,31768
2025-01-27,305.11,307.72,297.15,301.27,41726
2025-01-28,299.89,301.88,294.4,295.53,37614
2025-01-29,295.94,304.26,293.9,301.2,39717
2025-01-30,302.51,308.61,298.07,304.79,15775
2025-01-31,302.58,308.57,300.32,307.66,11752
2025-02-03,306.68,308.16,298.54,301.92,12638
2025-02-04,300.79,303.29,295.18,299.59,26804
2025-02-05,296.66,299.21,295.05,297.75,3584
2025-02-06,295.41,296.36,292.53,293.5,38183
2025-02-07,290.72,293.91,290.54,291.11,7929
2025-02-10,293.68,297.22,290.22,295.11,32991
2025-02-11,297.3,299.79,294.85,296.59,15580
2025-02-12,293.74,293.8,289.42,291.87,9783
2025-02-13,293.55,294.46,288.84,289.24,47241
2025-02-14,287.84,288.94,284.66,285.16,33621
2025-02-17,282.47,287.99,280.94,287.47,39995
2025-02-18,285.52,286.84,284.04,284.47,49147
2025-02-19,287.02,291.05,285.25,289.54,26439
2025-02-20,288.9,291.78,286.49,290.51,31246
2025-02-21,290.02,290.16,288.96,290.12,8041
2025-02-24,291.36,294.93,287.32,293.69,44695
2025-02-25,292.06,293.49,285.51,288.29,37590
2025-02-26,288.82,290.5,282.28,285.8,20465
2025-02-27,288.47,292.81,284.5,288.54,43057
